Número de identificação da publicação,Link permanente,Publicar mensagem,Tipo,Países,Idiomas,Publicado,Direcionamento do público,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%,Lifetime Paid views to 95%,Lifetime Paid views to 95%,Lifetime Organic Video Views,Lifetime Organic Video Views,Lifetime Paid Video Views,Lifetime Paid Video Views,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Negative Feedback from Users by Type - hide_all_clicks,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback from Users by Type - unlike_page_clicks,Lifetime Negative Feedback from Users by Type - report_spam_clicks,Lifetime Negative Feedback by Type - hide_all_clicks,Lifetime Negative Feedback by Type - hide_clicks,Lifetime Negative Feedback by Type - unlike_page_clicks,Lifetime Negative Feedback by Type - report_spam_clicks,,
316136345150243_1740181879412342,https://www.facebook.com/camaradeputados/posts/1740181879412342,"A Câmara dos Deputados analisa projeto que assegura aos adolescentes inseridos em programas de acolhimento institucional preferência na seleção de aprendiz para contrato de aprendizagem. Além disso, a proposta concede a esses adolescentes o direito de participarem de programas sociais que tenham por base o trabalho educativo. E ainda, quando completarem 18 anos, o direito de serem contratados por empresa terceirizada que presta serviços à administração pública, como forma de garantir meios de subsistência mínimos longe dos abrigos. https://goo.gl/vX3LCm",Photo,,,08/06/2018 10:32:00 AM, ,5962,5962,0,7682,7682,0,171,129,197,3,4,6684,5279,0,0,134,0,0,0,0,0,0,0,0,0,0,14,52,20,14,55,30,105,28,2,,164,31,2,,,4,,,,3,,,,
316136345150243_1740296939400836,https://www.facebook.com/camaradeputados/posts/1740296939400836:0,Dicionário legislativo,Photo,,,08/06/2018 6:46:57 AM, ,6182,6182,0,8436,8436,0,139,98,165,5,6,7651,5566,0,0,119,0,0,0,0,0,0,0,0,0,0,11,43,15,11,45,17,72,37,2,,119,44,2,,,6,,,,5,,,,
316136345150243_1735362536560943,https://www.facebook.com/camaradeputados/videos/1735362536560943/,Entenda melhor os termos usados nos debates e votações na Câmara. Na semana passada explicamos o que é Base eleitoral. Confira! https://goo.gl/sFq3kd,Video,,,08/06/2018 6:33:00 AM, ,3880,3880,0,5700,5700,0,107,72,111,4,4,4432,3072,0,0,69,89,91,0,0,101,106,0,0,2233,3267,15,33,4,15,34,6,54,,5,14,84,,5,17,,4,,,,4,,,,
316136345150243_1735932659837264,https://www.facebook.com/camaradeputados/posts/1735932659837264,"Tramita na Câmara projeto que garante desconto de 10% na diária de pessoa com deficiência em hotel sem dormitório acessível. Para que um quarto seja acessível algumas medidas precisam ser respeitadas, a principal delas é a área de giro para uma cadeira de rodas. https://goo.gl/AZSZgr",Photo,,,08/04/2018 3:07:00 PM, ,6472,6472,0,8305,8305,0,206,147,172,3,3,7569,5930,0,0,180,0,0,0,0,0,0,0,0,0,0,5,76,22,5,77,24,131,19,3,,150,19,3,,2,1,,,2,1,,,,
316136345150243_1735834886513708,https://www.facebook.com/camaradeputados/posts/1735834886513708,"Proposta obriga governo federal a oferecer três refeições por dia na rede pública de educação. Atualmente, essa questão é disciplinada por regulamento do Ministério da Educação. O projeto altera a legislação que trata da alimentação escolar (Lei 11.947/09). https://goo.gl/oVt5XM",Photo,,,08/04/2018 6:33:00 AM, ,15237,15237,0,19840,19840,0,773,544,808,5,5,15190,11791,0,0,674,0,0,0,0,0,0,0,0,0,0,62,307,101,62,318,287,492,72,9,,720,79,9,,,5,,,,5,,,,
316136345150243_1735293576567839,https://www.facebook.com/camaradeputados/posts/1735293576567839,"Proposta permite que hospitais particulares administrem soros antipeçonhentos. O projeto altera o Programa Nacional de Imunizações que estabelece que as unidades públicas sejam as únicas encarregadas de oferecer os soros para acidentes com serpentes, aranhas e lagartas além dos escorpiões. https://goo.gl/iDmeBv",Photo,,,08/03/2018 3:02:00 PM, ,8826,8826,0,10973,10973,0,389,279,424,3,3,9383,7658,0,0,350,0,0,0,0,0,0,0,0,0,0,22,150,33,22,156,77,239,43,8,,366,50,8,,,3,,,,3,,,,
316136345150243_1733958133368050,https://www.facebook.com/camaradeputados/posts/1733958133368050,Acompanhem o relatório dessa semana sobre o que foi falado nas redes sociais a respeito da Intervenção Federal no Rio de Janeiro. https://goo.gl/mjrziR #olerj,Photo,,,08/03/2018 10:31:00 AM, ,8756,8756,0,11567,11567,0,138,95,107,5,5,10845,8176,0,0,123,0,0,0,0,0,0,0,0,0,0,8,41,6,9,41,8,50,41,10,,53,44,10,,1,4,,,1,4,,,,
316136345150243_1732665900163940,https://www.facebook.com/camaradeputados/posts/1732665900163940,Proposta em análise na Câmara dos Deputados modifica a Constituição Federal para conceder isenção do Imposto de Renda Pessoa Física (IRPF) a professores das redes pública e privada de ensino. https://goo.gl/wmcoa1,Photo,,,08/03/2018 6:31:00 AM, ,18584,18584,0,24520,24520,0,1152,826,1262,6,6,14923,11588,0,0,881,0,0,0,0,0,0,0,0,0,0,112,423,120,119,435,207,716,112,43,,1096,122,44,,1,5,,,1,5,,,,
316136345150243_1732667996830397,https://www.facebook.com/camaradeputados/posts/1732667996830397,A Câmara analisa o projeto que inclui um botijão de gás de 13 kg entre os itens da cesta básica. O texto também altera a Lei 10.925/04 para zerar as alíquotas de PIS/Cofins na importação e na receita bruta de venda no mercado interno do gás liquefeito de petróleo (GLP). https://goo.gl/raonNb,Photo,,,08/02/2018 3:01:00 PM, ,10036,10036,0,13116,13116,0,603,378,461,6,6,9492,7290,0,0,515,0,0,0,0,0,0,0,0,0,0,59,268,51,61,274,59,330,60,7,,393,61,7,,1,5,,,1,5,,,,
316136345150243_1732663890164141,https://www.facebook.com/camaradeputados/posts/1732663890164141,"Colunas, artigos ou matérias de internet que divulgarem informações sobre características, diagnóstico ou tratamento de enfermidades deverá trazer advertência avisando tratar-se de informação de caráter geral, devendo o profissional competente ser consultado para adequada avaliação clínica. https://goo.gl/rkPb75",Photo,,,08/02/2018 10:32:00 AM, ,4616,4616,0,5970,5970,0,100,68,87,2,2,5403,4227,0,0,90,0,0,0,0,0,0,0,0,0,0,3,38,5,3,40,7,53,18,,,69,18,,,,2,,,,2,,,,
316136345150243_1721088621321668,https://www.facebook.com/camaradeputados/posts/1721088621321668,"Projeto em discussão na Comissão de Constituição e Justiça e de Cidadania prevê que advogados possam ingressar em fóruns, tribunais e centros penitenciários sem ser revistados ou passar por detectores de metal. https://goo.gl/keBJdh",Photo,,,08/02/2018 6:32:00 AM, ,21410,21410,0,27991,27991,0,1489,1198,1729,6,6,20024,15216,0,0,1269,0,0,0,0,0,0,0,0,0,0,82,465,235,84,477,327,1117,114,26,,1578,122,29,,3,3,,,3,3,,,,
316136345150243_1722966517800545,https://www.facebook.com/camaradeputados/posts/1722966517800545,"Projeto em discussão obrigaria as instâncias gestoras do Sistema Único de Saúde (SUS) a disponibilizar na internet os estoques de medicamentos presentes nas farmácias públicas que estiverem sob sua gestão, com atualização diária. https://goo.gl/cvn1G6",Photo,,,08/01/2018 3:02:00 PM, ,7161,7161,0,9079,9079,0,194,117,145,2,2,5902,4674,0,0,131,0,0,0,0,0,0,0,0,0,0,21,84,11,21,86,15,96,27,1,,117,27,1,,,2,,,,2,,,,
316136345150243_1722869897810207,https://www.facebook.com/camaradeputados/posts/1722869897810207,"De acordo com o projeto, para permanecer nos abrigos, esses jovens deverão estar matriculados no ensino médio ou no superior, ter morado pelo menos três anos seguidos em instituições de acolhimento antes de completar 18 anos e não ter emprego fixo ou carteira de trabalho assinada. https://goo.gl/V2tL3r",Photo,,,08/01/2018 10:33:00 AM, ,6363,6363,0,7679,7679,0,201,123,197,2,2,6478,5414,0,0,182,0,0,0,0,0,0,0,0,0,0,16,92,21,16,92,26,105,23,2,,171,24,2,,,2,,,,2,,,,
316136345150243_1721108161319714,https://www.facebook.com/camaradeputados/posts/1721108161319714,"Se aprovado o projeto estabelece que gestores estaduais e municipais de educação, professores, alunos e pais deverão ser ouvidos previamente a qualquer alteração na Base Nacional Comum Curricular (BNCC). https://goo.gl/t9wiBc",Photo,,,08/01/2018 6:31:00 AM, ,10463,10463,0,13289,13289,0,357,229,315,4,4,8364,6714,0,0,220,0,0,0,0,0,0,0,0,0,0,47,136,30,47,139,57,191,49,13,,249,52,14,,,4,,,,4,,,,
316136345150243_1721100394653824,https://www.facebook.com/camaradeputados/posts/1721100394653824,"Se for aprovada a proposta veda a cobrança de valores a candidatos a vagas de emprego para quaisquer serviços, tais como cadastro ou manutenção de cadastro de currículo ou documento equivalente em banco de dados, inscrição em processo seletivo, acesso a planos ou serviços diferenciados de exposição de currículo. https://goo.gl/53yKHG",Photo,,,07/31/2018 3:02:00 PM, ,9324,9324,0,11807,11807,0,508,344,466,3,3,9370,7367,0,0,439,0,0,0,0,0,0,0,0,0,0,47,206,38,47,207,59,305,52,10,,402,52,12,,,3,,,,3,,,,
316136345150243_1721094571321073,https://www.facebook.com/camaradeputados/posts/1721094571321073,Projeto em análise na Câmara proíbe o governo federal de contratar ou patrocinar eventos que incentivem a violência ou exponham crianças à constrangimento. A proposta teve origem nos debates ocorridos após exposições ocorridas em Porto Alegre e São Paulo. https://goo.gl/KN8HeS,Photo,,,07/31/2018 10:32:00 AM, ,12549,12549,0,16224,16224,0,800,525,757,7,8,12366,9708,0,0,703,0,0,0,0,0,0,0,0,0,0,69,385,87,69,396,123,480,57,14,,672,70,15,,1,7,,,1,6,,,,
316136345150243_1710255489071648,https://www.facebook.com/camaradeputados/posts/1710255489071648,"Os municípios e o DF definirão um percentual mínimo dos estacionamentos para bicicletários, com conforto, segurança e sinalização adequada. Além disso, a construção ou a ampliação de edifícios públicos ou privados de uso público deverá prever a instalação de bicicletários, vestiários e banheiros para uso pelos ciclistas que trabalham nesses locais. https://goo.gl/dpNyJn",Photo,,,07/31/2018 6:33:00 AM, ,6444,6444,0,7873,7873,0,193,126,155,3,5,6377,5311,0,0,168,0,0,0,0,0,0,0,0,0,0,30,78,17,30,83,33,104,22,1,,132,22,1,,,5,,,,3,,,,
316136345150243_1721097154654148,https://www.facebook.com/camaradeputados/posts/1721097154654148,"De acordo com o projeto apresentado, a empresa deverá pagar, no mínimo, 50% dos débitos, com juros e multa apenas sobre o valor não recolhido no vencimento. O objetivo é auxiliar o capital de giro desses empresários. https://goo.gl/sBkZYn",Photo,,,07/30/2018 3:05:00 PM, ,5310,5310,0,6487,6487,0,117,68,80,1,1,5185,4090,0,0,95,0,0,0,0,0,0,0,0,0,0,24,38,11,25,39,11,51,19,3,,58,19,3,,,1,,,,1,,,,
316136345150243_1729474837149713,https://www.facebook.com/camaradeputados/posts/1729474837149713:0,Dicionário legislativo,Photo,,,07/30/2018 11:56:44 AM, ,4105,4105,0,5562,5562,0,83,61,78,4,4,5015,3757,0,0,73,0,0,0,0,0,0,0,0,0,0,6,28,3,6,30,3,39,27,,,50,28,,,1,3,,,1,3,,,,
316136345150243_1729037497193447,https://www.facebook.com/camaradeputados/videos/1729037497193447/,Entenda melhor os termos usados nos debates e votações na Câmara. Na semana passada explicamos o que é Anteprojeto. Confira! https://goo.gl/MmkXDd,Video,,,07/30/2018 10:32:00 AM, ,1668,1668,0,2321,2321,0,51,41,60,0,0,1907,1388,0,0,41,35,37,0,0,51,52,0,0,3734,3734,5,11,4,5,11,5,25,,1,8,39,,1,9,,,,,,,,,,
316136345150243_1710249619072235,https://www.facebook.com/camaradeputados/posts/1710249619072235,"Os recursos do Fundo Nacional sobre Mudança do Clima deverão ser aplicados em campanhas de conscientização da população sobre o aquecimento global, segundo o texto aprovado. https://goo.gl/8hwZqQ",Photo,,,07/30/2018 6:33:00 AM, ,4795,4795,0,6079,6079,0,100,64,86,2,2,5240,4275,0,0,86,0,0,0,0,0,0,0,0,0,0,6,49,17,6,50,19,47,22,1,,62,23,1,,,2,,,,2,,,,
316136345150243_1712129962217534,https://www.facebook.com/camaradeputados/posts/1712129962217534,"No primeiro semestre, a Câmara aprovou 158 propostas. Os temas variaram entre transporte, segurança, energia, economia e acesso a dados. Confira: goo.gl/HX5tHM",Photo,,,07/27/2018 3:02:00 PM, ,5645,5645,0,7259,7259,0,96,59,72,1,1,5446,4120,0,0,62,0,0,0,0,0,0,0,0,0,0,10,35,18,10,37,36,29,17,17,,35,19,18,,,1,,,,1,,,,
316136345150243_1721575167939680,https://www.facebook.com/camaradeputados/posts/1721575167939680,"Veja o relatório do debate sobre a intervenção que aconteceu nas redes sociais nessa última semana: https://goo.gl/TUAygw

Vários veículos de notícias trataram da estratégia de transição do exército e da análise dos 5 meses de intervenção. https://goo.gl/jBPA3q  #olerj #intervencao",Photo,,,07/27/2018 10:29:00 AM, ,3702,3702,0,4887,4887,0,57,36,39,3,3,4367,3309,0,0,44,0,0,0,0,0,0,0,0,0,0,4,15,9,4,15,13,14,19,3,,15,21,3,,,3,,,,3,,,,
316136345150243_1712124432218087,https://www.facebook.com/camaradeputados/posts/1712124432218087,As comissões da Câmara aprovaram mais de 600 propostas neste semestre. Entre as mais polêmicos estão as mudanças na legislação sobre agrotóxicos; o direito de veterinários prestarem serviços gratuitos e a proibição do casamento de menores de 16 anos. Confira outros projetos: goo.gl/6v3Hi8,Photo,,,07/27/2018 6:37:00 AM, ,7377,7377,0,9398,9398,0,255,198,266,7,7,7871,6176,0,0,224,0,0,0,0,0,0,0,0,0,0,16,66,40,16,69,57,172,31,12,,220,33,13,,1,6,,,1,6,,,,
316136345150243_1713500275413836,https://www.facebook.com/camaradeputados/posts/1713500275413836,"De acordo com projeto, nos casos de forte indício de abuso sexual e laudo de prejuízo psicológico da criança, até que ela complete 12 anos, o suposto abusador só poderá encontrá-la na modalidade de visita assistida, mesmo que absolvido por falta de provas. A proposta será discutida nas comissões da Câmara. https://goo.gl/FY6nzG",Photo,,,07/26/2018 3:05:00 PM, ,9161,9161,0,11620,11620,0,556,460,644,5,5,9072,7069,0,0,455,0,0,0,0,0,0,0,0,0,0,35,123,44,35,128,66,406,70,13,,560,71,13,,2,3,,,2,3,,,,
316136345150243_1713094795454384,https://www.facebook.com/camaradeputados/posts/1713094795454384,O projeto aprovado torna obrigatório o reajuste do valor dos contratos de prestação de serviço continuado na data-base da categoria do profissional contratado. Essa medida tem por objetivo garantir a manutenção do equilíbrio econômico-financeiro. https://goo.gl/cKMqTv,Photo,,,07/26/2018 10:34:00 AM, ,4560,4560,0,6100,6100,0,87,42,49,3,3,5000,3867,0,0,68,0,0,0,0,0,0,0,0,0,0,16,39,5,17,43,5,30,12,3,,33,12,4,,,3,,,,3,,,,
316136345150243_1711997142230816,https://www.facebook.com/camaradeputados/posts/1711997142230816,"Atualmente, o ECA permite apenas uma recondução dos conselheiros tutelares, cujo mandato é de quatro anos. A proposta aprovada permite a reeleição, por mais de uma vez, de modo a garantir a continuidade dos trabalhos. https://goo.gl/SbDecq",Photo,,,07/26/2018 6:32:00 AM, ,6766,6766,0,8537,8537,0,182,114,133,2,2,5979,4560,0,0,135,0,0,0,0,0,0,0,0,0,0,29,76,17,30,82,21,89,25,3,,105,25,3,,,2,,,,2,,,,
316136345150243_1720047728092424,https://www.facebook.com/camaradeputados/posts/1720047728092424,"O objetivo é que qualquer pessoa tenha acesso a informações sobre pedófilos condenados em caráter definitivo. Desse banco de dados, deverão constar nome completo, endereço residencial e fotografia. A proposta será analisada pelas comissões da Câmara. Leia a íntegra da proposta apresentada. https://goo.gl/mKaQL8",Photo,,,07/25/2018 3:02:00 PM, ,8764,8764,0,11289,11289,0,493,360,443,6,6,9256,7020,0,0,438,0,0,0,0,0,0,0,0,0,0,41,162,42,42,167,87,334,34,2,,404,37,2,,2,4,,,2,4,,,,
316136345150243_1710253289071868,https://www.facebook.com/camaradeputados/posts/1710253289071868,"A proposta prevê que o responsável técnico pelo estabelecimento deverá ter formação nas áreas de pediatria, infectologia ou imunologia. Já os profissionais que fazem a aplicação das vacinas devem ter nível técnico ou superior na área de enfermagem, além de ser periodicamente capacitados. https://goo.gl/pAbBg1",Photo,,,07/25/2018 10:36:00 AM, ,5524,5524,0,6791,6791,0,118,73,87,3,3,5786,4469,0,0,103,0,0,0,0,0,0,0,0,0,0,19,52,7,19,54,9,53,20,2,,65,20,2,,,3,,,,3,,,,
316136345150243_1710251679072029,https://www.facebook.com/camaradeputados/posts/1710251679072029,"Médicos e dentistas deverão colocar por extenso em letra manuscrita legível ou texto impresso, nas prescrições, a posologia e a forma de uso dos medicamentos, além do princípio ativo. A proposta seguirá para análise da Comissão de Constituição e Justiça e de Cidadania e, se aprovada, será debatida pelo Plenário. https://goo.gl/iSj9zw",Photo,,,07/25/2018 6:34:00 AM, ,29978,29978,0,40142,40142,0,2175,1474,1970,2,2,19058,14470,0,0,1297,0,0,0,0,0,0,0,0,0,0,300,972,175,312,1042,238,1309,215,12,,1723,235,12,,,2,,,,2,,,,
316136345150243_1720038624760001,https://www.facebook.com/camaradeputados/posts/1720038624760001,"Proposta susta permissão a provedores de internet reduzir a velocidade de conexão no horário de maior tráfego, suspendendo orientação da Agência Nacional de Telecomunicações. https://goo.gl/H2VBwv",Photo,,,07/24/2018 3:03:00 PM, ,12529,12529,0,16085,16085,0,795,529,731,7,7,11443,8905,0,0,674,0,0,0,0,0,0,0,0,0,0,73,348,50,79,361,62,445,84,20,,614,97,20,,2,5,,,2,5,,,,
316136345150243_1702931266470737,https://www.facebook.com/camaradeputados/posts/1702931266470737,"O objetivo da proposta é inserir na Política Agrícola Nacional o preço mínimo também para os produtos de origem animal, que venham de produtores extrativistas que façam manejo sustentável, para garantir a eles uma renda mínima. Atualmente, apenas os produtores extrativistas de origem vegetal são beneficiários desta política. https://goo.gl/w9rXH7",Photo,,,07/24/2018 10:33:00 AM, ,4025,4025,0,5321,5319,0,77,54,71,3,4,4684,3532,0,0,66,0,0,0,0,0,0,0,0,0,0,8,26,8,8,28,8,37,20,1,,48,22,1,,,4,,,,3,,,,
316136345150243_1710247385739125,https://www.facebook.com/camaradeputados/posts/1710247385739125,"De acordo com o projeto, a critério da escola, será flexibilizada a frequência mínima exigida na educação básica dos alunos com deficiência ou transtornos globais do desenvolvimento. https://goo.gl/usid61",Photo,,,07/24/2018 6:31:00 AM, ,8800,8800,0,11135,11135,0,239,156,204,3,3,6471,5314,0,0,139,0,0,0,0,0,0,0,0,0,0,51,85,9,51,86,18,118,40,6,,157,41,6,,,3,,,,3,,,,
316136345150243_1718628288234368,https://www.facebook.com/camaradeputados/posts/1718628288234368,Quer entender outros termos comuns nos debates e votações?,Photo,,,07/23/2018 4:07:33 PM, ,4135,4135,0,5503,5503,0,109,98,128,1,1,4752,3538,0,0,95,0,0,0,0,0,0,0,0,0,0,3,12,,4,14,,52,58,1,,66,61,1,,,1,,,,1,,,,
316136345150243_1709073939189803,https://www.facebook.com/camaradeputados/videos/1709073939189803/,Entenda melhor os termos usados nos debates e votações na Câmara. Na semana passada explicamos o que é Casa Revisora. Confira! https://goo.gl/yWyMVM,Video,,,07/23/2018 3:03:00 PM, ,1707,1707,0,2565,2565,0,62,47,61,1,1,2059,1314,0,0,48,33,37,0,0,51,56,0,0,2769,4600,8,13,1,8,14,1,22,,1,12,30,,1,16,1,,,,1,,,,,
316136345150243_1702767493153781,https://www.facebook.com/camaradeputados/posts/1702767493153781,"O projeto aprovado cria uma política nacional de incentivo à produção de mel e à criação das abelhas brasileiras sem ferrão, como jataí, mandaçaia e manduri. O objetivo é estimular a apicultura nacional, muitas vezes formada por pequenos produtores, e garantir a qualidade dos produtos. https://goo.gl/PL5spe",Photo,,,07/23/2018 10:33:00 AM, ,7208,7208,0,9075,9075,0,260,140,172,4,4,6935,5634,0,0,217,0,0,0,0,0,0,0,0,0,0,26,150,18,26,157,20,119,20,11,,139,21,12,,2,2,,,2,2,,,,
316136345150243_1703197709777426,https://www.facebook.com/camaradeputados/posts/1703197709777426,"A proposta aprovada obriga a União, os estados, o Distrito Federal e os municípios a destinar verbas para a manutenção e compra de livros para bibliotecas públicas, inclusive as de instituições de ensino públicas. https://goo.gl/fuVo7j",Photo,,,07/23/2018 6:34:00 AM, ,10999,10999,0,14589,14589,0,508,306,491,3,3,8586,6830,0,0,273,0,0,0,0,0,0,0,0,0,0,57,244,42,64,255,85,259,82,13,,376,99,16,,1,2,,,1,2,,,,
316136345150243_1708798809217316,https://www.facebook.com/camaradeputados/posts/1708798809217316,"O cadastro deverá conter identificação e endereço do tutor, procedência do animal, raça, sexo, idade real ou presumida, vacinas, doenças e se o animal possui chip de identificação. O proprietário incorrerá em sanções penais e administrativas caso as informações forem falsas, enganosas ou omissas. https://goo.gl/3ytYy9",Photo,,,07/20/2018 3:03:00 PM, ,46104,46104,0,64550,64550,0,2772,2085,2876,5,5,26381,20152,0,0,1299,0,0,0,0,0,0,0,0,0,0,320,1014,245,359,1092,380,1845,285,81,,2480,302,94,,2,3,,,2,3,,,,
316136345150243_1711988935564970,https://www.facebook.com/camaradeputados/posts/1711988935564970,"Relatório do Instituto de Segurança Pública identificou 843 territórios sob o controle de grupos ligados ao tráfico de drogas, milicianos, bicheiros e moradores de comunidades que agem como &quot;justiceiros&quot;. https://goo.gl/8RYuu9

Nesta semana, os destaques foram a aprovação pela Câmara das medidas provisórias que criam cargos e destinam R$1,2 bi para o Gabinete de Intervenção Federal e o balanço dos cinco meses de intervenção no estado. https://goo.gl/csnuUR #olerj #intervencao",Photo,,,07/20/2018 10:31:00 AM, ,7036,7036,0,8529,8529,0,156,116,142,4,4,7405,6155,0,0,126,0,0,0,0,0,0,0,0,0,0,8,38,27,8,38,42,93,25,3,,109,28,5,,,4,,,,4,,,,
316136345150243_1703209933109537,https://www.facebook.com/camaradeputados/posts/1703209933109537,"Segundo a proposta aprovada, a estudante grávida poderá interromper o estágio por 120 dias a partir do nono mês de gestação ou do nascimento da criança. Terminado o período, o estágio prosseguirá normalmente, acrescido do número de dias correspondente ao afastamento. https://goo.gl/quwk75",Photo,,,07/20/2018 6:32:00 AM, ,16348,16348,0,20633,20633,0,943,731,1017,7,7,13159,10636,0,0,721,0,0,0,0,0,0,0,0,0,0,76,269,42,78,289,85,651,106,12,,887,117,13,,1,6,,,1,6,,,,
316136345150243_1703194653111065,https://www.facebook.com/camaradeputados/posts/1703194653111065,A proposta aprovada obriga os estudantes de graduação que recebam bolsa de estudo do governo a prestar serviços em instituições públicas de educação básica. Esses serviços não poderão ser remunerados e não poderão configurar vínculo empregatício. https://goo.gl/TmFYR7,Photo,,,07/19/2018 3:10:00 PM, ,546137,546137,0,906632,906632,0,81773,73859,123481,11,11,66509,41798,0,0,6306,0,0,0,0,0,0,0,0,0,0,2418,17466,5769,2514,19794,12587,70040,9698,3211,,109344,10633,3504,,3,8,,,3,8,,,,
316136345150243_1703188969778300,https://www.facebook.com/camaradeputados/posts/1703188969778300,"O projeto aprovado garante que os pacientes com câncer e suas famílias deverão ser informados a respeito de todos os direitos sociais previstos na lei brasileira, tais como isenção de Imposto de Renda caso o paciente já seja aposentado, saque do FGTS e do PIS/PASEP e o recebimento de auxílio-doença e aposentadoria por invalidez, a depender do caso. https://goo.gl/akVJao",Photo,,,07/19/2018 10:33:00 AM, ,11307,11307,0,13476,13476,0,507,340,385,6,8,8515,6909,0,0,310,0,0,0,0,0,0,0,0,0,0,87,173,13,87,183,19,284,58,7,,321,57,7,,2,6,,,2,4,,,,
316136345150243_1703183779778819,https://www.facebook.com/camaradeputados/posts/1703183779778819,"O processo de liberação alfandegária dos bens importados para pesquisa científica e tecnológica ficará mais fácil. Seu licenciamento, desembaraço aduaneiro e liberação serão automáticos, imediatos e livres de impostos, independente do valor declarado. https://goo.gl/t5FwpG",Photo,,,07/19/2018 6:34:00 AM, ,7542,7542,0,9193,9193,0,199,112,156,3,4,6873,5635,0,0,146,0,0,0,0,0,0,0,0,0,0,22,112,25,22,112,37,90,27,6,,119,31,6,,,4,,,,3,,,,
316136345150243_1703169926446871,https://www.facebook.com/camaradeputados/posts/1703169926446871,O projeto aprovado proíbe bancos de concederem financiamentos lastreados com recursos oficiais a empresas em débito com o FGTS. Atualmente a vedação se refere apenas às instituições oficiais de créditos. O objetivo é conferir igualdade de tratamento às instituições públicas e privadas. https://goo.gl/uLqTsN,Photo,,,07/18/2018 3:04:00 PM, ,6919,6919,0,8249,8249,0,168,95,120,3,3,6944,5789,0,0,148,0,0,0,0,0,0,0,0,0,0,17,76,13,17,77,19,71,28,1,,88,31,1,,,3,,,,3,,,,
316136345150243_1698638590233338,https://www.facebook.com/camaradeputados/posts/1698638590233338,"De acordo com o Estatuto do Idoso, os maiores de 65 anos já têm direito a transporte público urbano e semiurbano gratuito. Mas o projeto aprovado prevê que a União deverá repassar aos estados e municípios o valor correspondente a este transporte, sem necessidade de convênio ou contrato. https://goo.gl/qa3bcj",Photo,,,07/18/2018 10:32:00 AM, ,21968,21968,0,27300,27303,0,951,632,913,7,8,16171,12930,0,0,617,0,0,0,0,0,0,0,0,0,0,127,372,99,130,392,141,542,108,15,,777,120,16,,1,6,,1,1,6,,1,,
316136345150243_1710013245762539,https://www.facebook.com/camaradeputados/posts/1710013245762539,"O texto aprovado autoriza expressamente na lei que petições judiciais sejam enviadas ao juízo via correio eletrônico ou meio similar - os advogados terão 5 dias para entregar os documentos originais. A proposta foi aprovada pela Comissão de Constituição e Justiça e de Cidadania e será enviada ao Senado Federal, a menos que haja recurso para a votação em Plenário. https://goo.gl/1jpP2Z",Photo,,,07/18/2018 6:33:00 AM, ,8192,8192,0,11679,11679,0,338,268,320,3,3,6825,5689,0,0,158,0,0,0,0,0,0,0,0,0,0,24,90,21,27,97,37,236,39,2,,275,43,2,,1,2,,,1,2,,,,
316136345150243_1709220415841822,https://www.facebook.com/camaradeputados/posts/1709220415841822,"A política terá como diretrizes a universalização do direito ao acesso ao livro, à leitura, à escrita, à literatura e às bibliotecas. As metas e ações definidas pela nova política serão implementadas pelos ministérios, em cooperação com os estados, o Distrito Federal e os municípios e com a participação da sociedade civil e de instituições privadas. https://goo.gl/4AiWMf",Photo,,,07/17/2018 2:51:24 PM, ,8035,8035,0,10043,10043,0,245,166,265,1,1,7943,6263,0,0,198,0,0,0,0,0,0,0,0,0,0,28,90,21,30,102,29,134,34,11,,213,40,12,,,1,,,,1,,,,
